               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081719,            0.071721,             0.10616,            0.007728,             0.48694,             0.01511,            0.006285,            0.060945,             0.05039,             0.10835,            0.070476,           0.0032804,           0.0032804
                   1,             0.06013,            0.047898,             0.10351,            0.012694,             0.69174,            0.026569,            0.013768,            0.046184,            0.033295,             0.10138,            0.040411,           0.0065483,           0.0065483
                   2,            0.057287,            0.041301,             0.10083,            0.013762,             0.69603,            0.039307,             0.02349,            0.050601,            0.036356,             0.10018,            0.010279,           0.0097501,           0.0097501
                   3,             0.04847,            0.037476,            0.099723,            0.014392,             0.85081,            0.049239,            0.033891,            0.029074,            0.028667,             0.09856,            0.009703,            0.009703,            0.009703
                   4,            0.036545,            0.034823,            0.099122,            0.014352,              0.8523,            0.047207,            0.024357,            0.031124,            0.027445,            0.097806,            0.009703,            0.009703,            0.009703
                   5,            0.032756,            0.031267,            0.098742,            0.014751,             0.88402,            0.059552,            0.039049,            0.026254,            0.027371,            0.097461,            0.009604,            0.009604,            0.009604
                   6,            0.029056,            0.028554,            0.098433,            0.014962,             0.89838,            0.075409,            0.055987,            0.027006,             0.02481,            0.097129,            0.009505,            0.009505,            0.009505
                   7,            0.029004,            0.028046,            0.098175,              0.0157,             0.89682,            0.088367,            0.064922,            0.020989,            0.022403,            0.096822,            0.009406,            0.009406,            0.009406
                   8,            0.026112,            0.028362,            0.097813,            0.016353,             0.93565,             0.12953,             0.11319,            0.018508,            0.024057,            0.096253,            0.009307,            0.009307,            0.009307
                   9,             0.02384,             0.02701,            0.097466,            0.016282,              0.9257,             0.15601,             0.11864,            0.022691,            0.022631,            0.095633,            0.009208,            0.009208,            0.009208
                  10,            0.023955,            0.025634,            0.096949,            0.094186,             0.46354,             0.17468,             0.15094,            0.015635,            0.020363,            0.094867,            0.009109,            0.009109,            0.009109
                  11,            0.022823,             0.02426,            0.096325,              0.8235,            0.091219,             0.19294,             0.17191,            0.013398,            0.017872,             0.09394,             0.00901,             0.00901,             0.00901
                  12,            0.021735,            0.025169,            0.095609,             0.63286,             0.15247,             0.23225,             0.20089,            0.014104,            0.018109,            0.092733,            0.008911,            0.008911,            0.008911
                  13,            0.021523,            0.024672,            0.094863,               0.565,             0.19881,             0.25351,             0.20487,            0.018776,            0.020817,            0.091662,            0.008812,            0.008812,            0.008812
                  14,            0.020938,            0.024014,            0.094044,             0.52209,             0.23702,             0.28737,              0.2452,            0.014004,            0.018478,            0.090442,            0.008713,            0.008713,            0.008713
                  15,            0.020926,            0.023317,             0.09286,             0.52909,               0.275,             0.31322,             0.22381,             0.01673,            0.018824,             0.08909,            0.008614,            0.008614,            0.008614
                  16,            0.019983,            0.023497,            0.091619,             0.56418,             0.30212,             0.39178,             0.32158,            0.014745,            0.018296,            0.087483,            0.008515,            0.008515,            0.008515
                  17,            0.019835,            0.023182,            0.090294,             0.53826,             0.36831,             0.44791,             0.34259,            0.014011,            0.017203,            0.085726,            0.008416,            0.008416,            0.008416
                  18,            0.020294,            0.022826,            0.088724,             0.51868,             0.40549,             0.49711,             0.41477,            0.014428,             0.01729,            0.084087,            0.008317,            0.008317,            0.008317
                  19,             0.02044,            0.022335,            0.087382,             0.50692,             0.46094,             0.53521,             0.36796,            0.016372,             0.01743,            0.082416,            0.008218,            0.008218,            0.008218
                  20,            0.019285,            0.020463,            0.085841,             0.58908,             0.52383,              0.6216,             0.47066,            0.016556,            0.019881,            0.080554,            0.008119,            0.008119,            0.008119
                  21,             0.01936,            0.022571,            0.083932,              0.6391,              0.5625,             0.64147,             0.46054,             0.01475,            0.016473,            0.078624,             0.00802,             0.00802,             0.00802
                  22,            0.019668,            0.022123,            0.081634,             0.69355,             0.58037,             0.67801,             0.55117,            0.012012,            0.015352,            0.076596,            0.007921,            0.007921,            0.007921
                  23,            0.019259,            0.020979,            0.080134,             0.73487,             0.64472,             0.72773,              0.5826,            0.013081,            0.015846,            0.074644,            0.007822,            0.007822,            0.007822
                  24,            0.019599,            0.021708,            0.078473,             0.76289,             0.67199,              0.7524,              0.6456,            0.012999,            0.015787,             0.07312,            0.007723,            0.007723,            0.007723
                  25,            0.019061,            0.020654,            0.076937,             0.80036,             0.70895,             0.77497,             0.63759,            0.013563,            0.015841,             0.07104,            0.007624,            0.007624,            0.007624
